product_id,description
917,"Bluetooth speaker with Fast charging, 64GB storage, 128GB storage"
918,"Smartphone with 64GB storage, Noise cancellation, 128GB storage"
919,"Keyboard with Wireless, 128GB storage, 4GB RAM"
920,"Game Console with Heart rate monitor, Touchscreen, Long battery life"
921,"Monitor with 16GB RAM, 4K video, 48MP camera"
922,"Charger with 16GB RAM, Heart rate monitor, GPS"
923,"Bluetooth speaker with Bluetooth, Wireless, Touchscreen"
924,"Laptop with 48MP camera, 4GB RAM, Wireless"
925,"Monitor with 4K video, Fitness tracking, Fast charging"
926,"Keyboard with Bluetooth, 16GB RAM, Noise cancellation"
927,"Camera with Touchscreen, Long battery life, 4GB RAM"
928,"Mouse with Bluetooth, 16GB RAM, Long battery life"
929,"Headphones with Touchscreen, 16GB RAM, 1080p resolution"
930,"Charger with 128GB storage, Long battery life, 16GB RAM"
931,"Game Console with Fitness tracking, 16GB RAM, 64GB storage"
932,"Smartphone with 50MP camera, 128GB storage, 8GB RAM"
933,"Smartwatch with 50MP camera, Fitness tracking, Touchscreen"
934,"Monitor with GPS, Touchscreen, 4K video"
935,"Laptop with 4K video, 48MP camera, Touchscreen"
936,"Tablet with 1080p resolution, Touchscreen, 4K video"
937,"Charger with GPS, 128GB storage, Wireless"
938,"Headphones with 50MP camera, 4GB RAM, 128GB storage"
939,"Smartphone with 48MP camera, Heart rate monitor, Fast charging"
940,"Headphones with 48MP camera, 8GB RAM, 128GB storage"
941,"Smartwatch with Wireless, Heart rate monitor, 4K video"
942,"Game Console with 4GB RAM, Heart rate monitor, 4K video"
943,"Game Console with Fitness tracking, 4GB RAM, Long battery life"
944,"Monitor with 50MP camera, Long battery life, Touchscreen"
945,"Game Console with GPS, 16GB RAM, Touchscreen"
946,"Bluetooth speaker with Heart rate monitor, Noise cancellation, Fitness tracking"
947,"Headphones with Noise cancellation, 64GB storage, 8GB RAM"
948,"Smartwatch with 4GB RAM, Touchscreen, 1080p resolution"
949,"Tablet with 64GB storage, 16GB RAM, Touchscreen"
950,"Charger with 16GB RAM, Fitness tracking, Long battery life"
951,"Keyboard with Wireless, 128GB storage, Long battery life"
952,"Headphones with 1080p resolution, Long battery life, 64GB storage"
953,"Camera with Heart rate monitor, Fast charging, 8GB RAM"
954,"Smartwatch with Long battery life, Fitness tracking, 1080p resolution"
955,"Monitor with Touchscreen, 4K video, 64GB storage"
956,"Headphones with 8GB RAM, Bluetooth, GPS"
957,"Tablet with Fast charging, Bluetooth, 48MP camera"
958,"Laptop with Long battery life, 16GB RAM, 4GB RAM"
959,"Laptop with 48MP camera, Noise cancellation, 1080p resolution"
960,"Tablet with GPS, Long battery life, 1080p resolution"
961,"Smartphone with Heart rate monitor, Bluetooth, 4K video"
962,"Laptop with Noise cancellation, 8GB RAM, Heart rate monitor"
963,"Monitor with 1080p resolution, Noise cancellation, Touchscreen"
964,"Monitor with 4GB RAM, 64GB storage, Fitness tracking"
965,"Game Console with 8GB RAM, 128GB storage, Long battery life"
966,"Keyboard with Wireless, GPS, 48MP camera"
967,"Mouse with GPS, 128GB storage, 64GB storage"
968,"Monitor with Wireless, 1080p resolution, Fast charging"
969,"Camera with 1080p resolution, 16GB RAM, 4K video"
970,"Laptop with GPS, Long battery life, Fitness tracking"
971,"Bluetooth speaker with 4K video, 128GB storage, Noise cancellation"
972,"Game Console with Fitness tracking, Touchscreen, Noise cancellation"
973,"Laptop with Wireless, 8GB RAM, 48MP camera"
974,"Bluetooth speaker with Fast charging, GPS, Long battery life"
975,"Tablet with Heart rate monitor, 64GB storage, 4GB RAM"
976,"Keyboard with 8GB RAM, Fitness tracking, 1080p resolution"
977,"Tablet with 48MP camera, 128GB storage, 1080p resolution"
978,"Tablet with Touchscreen, 8GB RAM, Noise cancellation"
979,"Monitor with GPS, Fast charging, 8GB RAM"
980,"Headphones with 1080p resolution, Fast charging, Noise cancellation"
981,"Tablet with 50MP camera, Wireless, 1080p resolution"
982,"Monitor with Bluetooth, 1080p resolution, 64GB storage"
983,"Tablet with 4GB RAM, Wireless, 16GB RAM"
984,"Laptop with Touchscreen, Wireless, 4GB RAM"
985,"Monitor with 8GB RAM, Noise cancellation, 4K video"
986,"Smartwatch with Fast charging, 128GB storage, Touchscreen"
987,"Keyboard with Fast charging, Bluetooth, 16GB RAM"
988,"Headphones with GPS, 4K video, 8GB RAM"
989,"Smartwatch with 4K video, 4GB RAM, Bluetooth"
990,"Headphones with 48MP camera, Touchscreen, Noise cancellation"
991,"Game Console with 128GB storage, 4GB RAM, Wireless"
992,"Headphones with 1080p resolution, GPS, 64GB storage"
993,"Mouse with 4GB RAM, Fast charging, Fitness tracking"
994,"Mouse with Bluetooth, 4K video, Fitness tracking"
995,"Smartwatch with 64GB storage, Long battery life, 128GB storage"
996,"Laptop with Touchscreen, Wireless, Noise cancellation"
997,"Smartphone with Wireless, 1080p resolution, Noise cancellation"
998,"Headphones with 4K video, 48MP camera, Touchscreen"
999,"Laptop with Long battery life, Heart rate monitor, Touchscreen"
1000,"Smartphone with Noise cancellation, 1080p resolution, 64GB storage"
